time	voltage	temperature
11:00:31	127.3	22.06
11:00:36	127.3	22.06
11:00:41	127.32	22.06
11:00:46	127.34	22.06
11:00:51	127.29	22.06
11:00:56	127.32	22.06
11:01:01	127.33	22.06
11:01:06	127.31	22.06
11:01:11	127.33	22.06
11:01:16	127.3	22.06
11:01:21	127.33	22.06
11:01:26	127.31	22.06
11:01:31	127.31	22.06
11:01:36	127.31	22.06
11:01:41	127.28	22.06
11:01:46	127.32	22.06
11:01:51	127.3	22.06
11:01:56	127.27	22.06
11:02:01	127.31	22.06
11:02:06	127.28	22.06
11:02:11	127.29	22.06
11:02:16	127.3	22.06
11:02:21	127.28	22.06
11:02:26	127.31	22.06
11:02:31	127.29	22.06
11:02:36	127.3	22.06
11:02:41	127.28	22.06
11:02:46	127.32	22.06
11:02:51	127.31	22.06
11:02:56	127.31	22.06
11:03:01	127.28	22.06
11:03:06	127.29	22.06
11:03:11	127.29	22.06
11:03:16	127.28	22.06
11:03:21	127.31	22.06
11:03:26	127.31	22.06
11:03:31	127.3	22.06
11:03:36	127.32	22.06
11:03:41	127.31	22.06
11:03:46	127.29	22.06
11:03:51	127.28	22.06
11:03:56	127.29	22.06
11:04:01	127.28	22.06
11:04:06	127.28	22.06
11:04:11	127.29	22.06
11:04:16	127.31	22.06
11:04:21	127.31	22.06
11:04:26	127.3	22.06
11:04:31	127.32	22.06
11:04:36	127.31	22.06
11:04:41	127.28	22.06
11:04:46	127.3	22.06
11:04:51	127.29	22.06
11:04:56	127.29	22.06
11:05:01	127.33	22.06
11:05:06	127.29	22.06
11:05:11	127.29	22.06
11:05:16	127.28	22.06
11:05:21	127.31	22.06
11:05:26	127.33	22.06
11:05:31	127.27	22.06
11:05:36	127.29	22.06
11:05:41	127.28	22.06
11:05:46	127.29	22.06
11:05:51	127.3	22.06
11:05:56	127.28	22.06
11:06:01	127.31	22.06
11:06:06	127.26	22.06
11:06:11	127.29	22.06
11:06:16	127.28	22.06
11:06:21	127.27	22.06
11:06:26	127.28	22.06
11:06:31	127.22	22.06
11:06:36	127.3	22.06
11:06:41	127.28	22.06
11:06:46	127.26	22.06
11:06:51	127.27	22.06
11:06:56	127.3	22.06
11:07:01	127.28	22.06
11:07:06	127.3	22.06
11:07:11	127.26	22.06
11:07:16	127.27	22.06
11:07:21	127.24	22.06
11:07:26	127.25	22.06
11:07:31	127.27	22.06
11:07:36	127.3	22.06
11:07:41	127.25	22.06
11:07:46	127.27	22.06
11:07:51	127.26	22.06
11:07:56	127.24	22.06
11:08:01	127.26	22.06
11:08:06	127.28	22.06
11:08:11	127.27	22.06
11:08:16	127.28	22.06
11:08:21	127.28	22.06
11:08:26	127.27	22.06
11:08:31	127.29	22.06
11:08:36	127.26	22.06
11:08:41	127.26	22.06
11:08:46	127.26	22.06
11:08:51	127.27	22.06
11:08:56	127.24	22.06
11:09:01	127.24	22.06
11:09:06	127.24	22.06
